Email,Address,Avatar,Avg. Session Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent
mstephenson@fernandez.com,"835 Frank Tunnel
Wrightmouth, MI 82180-9605",Violet,34.5,12.7,39.6,4.1,588
hduke@hotmail.com,"4547 Archer Common
Diazchester, CA 06566-8576",DarkGreen,31.9,11.1,37.3,2.7,392
pallen@yahoo.com,"24645 Valerie Unions Suite 582
Cobbborough, DC 99414-7564",Bisque,33,11.3,37.1,4.1,488
riverarebecca@gmail.com,"1414 David Throughway
Port Jason, OH 22070-1220",SaddleBrown,34.3,13.7,36.7,3.1,582
mstephens@davidson-herman.com,"14023 Rodriguez Passage
Port Jacobville, PR 37242-1057",MediumAquaMarine,33.3,12.8,37.5,4.4,599
alvareznancy@lucas.biz,"645 Martha Park Apt. 611
Jeffreychester, MN 67218-7250",FloralWhite,33.9,12,34.5,5.5,637
katherine20@yahoo.com,"68388 Reyes Lights Suite 692
Josephbury, WV 92213-0247",DarkSlateBlue,32,11.4,36.7,4.7,522
awatkins@yahoo.com,"Unit 6538 Box 8980
DPO AP 09026-4941",Aqua,32.7,12.4,37.4,4.4,550
vchurch@walter-martinez.com,"860 Lee Key
West Debra, SD 97450-0495",Salmon,34,13.4,37.5,3.3,570
bonnie69@lin.biz,"PSC 2734, Box 5255
APO AA 98456-7482",Brown,31.9,11.8,37.1,3.2,427
andrew06@peterson.com,"26104 Alexander Groves
Alexandriaport, WY 28244-9149",Tomato,34,13.3,37.2,2.5,493
ryanwerner@freeman.biz,"Unit 2413 Box 0347
DPO AA 07580-2652",Tomato,33.9,11.6,37.1,3.7,522
knelson@gmail.com,"6705 Miller Orchard Suite 186
Lake Shanestad, MO 75696-5051",RoyalBlue,29.5,11,37.4,4,409
wrightpeter@yahoo.com,"05302 Dunlap Ferry
New Stephaniehaven, MP 42268",Bisque,33.2,13,36.1,3.9,573
taylormason@gmail.com,"7773 Powell Springs Suite 190
Samanthaland, ND 44358",DarkBlue,32.4,13.1,36.6,2.5,470
jstark@anderson.com,"49558 Ramirez Road Suite 399
Phillipstad, OH 35641-3238",Peru,30.7,12.6,36.2,3.4,462
wjennings@gmail.com,"6362 Wilson Mountain
Johnsonfurt, GA 15169",PowderBlue,32.1,11.7,34.9,3.1,458
rebecca45@hale-bauer.biz,"8982 Burton Row
Wilsonton, PW 88606",OliveDrab,32.3,12,38.4,2.4,408
alejandro75@hotmail.com,"64475 Andre Club Apt. 795
Port Dannytown, PW 63227",Cyan,32.2,14.7,38.2,1.5,452
samuel46@love-west.net,"544 Alexander Heights Suite 768
North Johnview, MT 57912",LightSeaGreen,32.6,14,37.2,4.1,605
